Series Name,Series Code,Country Name,Country Code,1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Albania,ALB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Algeria,DZA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Angola,AGO,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Argentina,ARG,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Armenia,ARM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Australia,AUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Austria,AUT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Azerbaijan,AZE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,"Bahamas, The",BHS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Bangladesh,BGD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Barbados,BRB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Belarus,BLR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Belgium,BEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Belize,BLZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Bhutan,BTN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Bolivia,BOL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Bosnia and Herzegovina,BIH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Brunei Darussalam,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Bulgaria,BGR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Burundi,BDI,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Cabo Verde,CPV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
